"first_words","last_word_expected"
"a_daily","basis"
"a_day","in"
"a_day","or"
"a_day","that"
"a_day","to"
"a_dear","friend"
"a_decade","and"
"a_decent","chance"
"a_decision","to"
"a_deep","breath"
"a_delight","to"
"a_description","of"
"a_desire","to"
"a_difference","in"
"a_different","color"
"a_different","direction"
"a_different","gospel"
"a_different","kind"
"a_different","one"
"a_different","tune"
"a_different","way"
"a_doctor","who"
"a_documentary","about"
"a_down","payment"
"a_drink","with"
"a_fact","of"
"a_fair","amount"
"a_fair","price"
"a_family","I"
"a_fan","of"
"a_fantastic","range"
"a_favor","and"
"a_fear","of"
"a_feel","for"
"a_feeling","of"
"a_fever","of"
"a_few","challenges"
"a_few","coats"
"a_few","days"
"a_few","different"
"a_few","extra"
"a_few","friends"
"a_few","good"
"a_few","hours"
"a_few","I'm"
"a_few","ideas"
"a_few","minutes"
"a_few","months"
"A_few","months"
"a_few","more"
"a_few","nights"
"a_few","of"
"A_few","of"
"a_few","pages"
"a_few","people"
"a_few","photos"
"a_few","samples"
"a_few","seconds"
"a_few","shots"
"a_few","small"
"a_few","that"
"a_few","things"
"a_few","times"
"a_few","weeks"
"A_few","weeks"
"a_few","years"
"A_few","years"
"a_film","of"
"a_first","time"
"a_fit","of"
"a_Follower","of"
"a_food","processor"
"a_form","of"
"a_fountain","pen"
"a_fraction","of"
"a_Free","Range"
"a_fresh","perspective"
"a_friend","in"
"a_friend","of"
"a_friend","to"
"a_fun","bright"
"a_fun","game"
"a_game","of"
"a_garden","salad"
"a_gift","for"
"A_girl","can"
"a_girl","who"
"a_glass","of"
"a_glimpse","of"
"a_good","cross"
"a_good","day"
"a_good","deal"
"a_good","game"
"a_good","guy"
"a_good","job"
"a_good","meal"
"a_good","night's"
"a_good","one"
"a_good","sign"
"a_good","start"
"a_good","thing"
"a_good","time"
"a_good","way"
"a_GPS","watch"
"a_great","amount"
"a_great","big"
"a_great","guy"
"a_great","idea"
"a_great","job"
"a_great","many"
"a_great","sense"
"a_great","story"
"a_great","thing"
"a_great","time"
"a_great","way"
"a_great","weekend"
"a_group","of"
"a_guest","blogger"
"a_habit","of"
"a_half","hour"
"a_half","of"
"a_half-cup","of"
"a_hand","mixer"
"a_handful","of"
"a_happy","ending"
"a_happy","life"
"a_hard","thing"
"a_hard","time"
"a_heart","shape"
"a_high","pitched"
"a_higher","level"
"a_hint","of"
"a_history","of"
"a_history","that"
"a_hole","in"
"a_home","and"
"a_horrible","mess"
"a_horror","movie"
"a_horse","I"
"a_huge","difference"
"a_huge","fan"
"a_huge","smile"
"a_human","being"
"a_human","issue"
"a_hundred","years"
"a_job","interview"
"a_job","that"
"a_joke","but"
"a_joke","I"
"a_joy","to"
"a_jump","in"
"a_key","role"
"a_kid","I"
"a_kind","of"
"a_lack","of"
"a_ladies","man"
"a_lake","house"
"a_large","bowl"
"a_large","part"
"a_large","portion"
"a_large","pot"
"a_large","skillet"
"a_last","resort"
"a_later","post"
"a_lawn","chair"
"a_lesson","But"
"a_level","of"
"a_license","to"
"a_life","of"
"a_lifetime","and"
"a_light","bulb"
"a_line","of"
"a_link","to"
"a_list","of"
"a_little","about"
"a_little","and"
"a_little","before"
"a_little","bit"
"a_little","boy"
"a_little","girl"
"a_little","girl's"
"a_little","gross"
"a_little","harder"
"a_little","I"
"a_little","less"
"a_little","like"
"a_little","more"
"a_little","on"
"a_little","over"
"a_little","time"
"a_little","too"
"a_little","while"
"a_living","creature"
"a_load","of"
"a_long","list"
"a_long","time"
"a_long","way"
"a_look","at"
"a_loss","of"
"a_lost","cause"
"a_lot","about"
"a_lot","and"
"a_lot","But"
"a_lot","in"
"a_lot","It's"
"a_lot","less"
"a_lot","like"
"a_lot","longer"
"a_lot","more"
"a_lot","of"
"A_lot","of"
"a_lot","to"
"a_love","affair"
"a_love","of"
"a_love","story"
"a_loved","one"
"a_lump","that"
"a_majority","of"
"a_man","a"
"a_man","and"
"a_man","of"
"A_man","of"
"a_man","or"
"a_man","who"
"a_man","with"
"a_matter","of"
"a_measure","of"
"a_medium","bowl"
"a_member","of"
"a_mental","illness"
"a_million","times"
"a_minute","and"
"a_minute","or"
"a_mistake","because"
"a_mix","of"
"a_mixed","blessing"
"a_mixture","of"
"a_moment","of"
"a_moment","on"
"a_moment","she"
"a_moment","to"
"a_month","and"
"a_month","for"
"a_month","I"
"a_more","complete"
"a_movie","that"
"a_much","better"
"a_name","for"
"a_national","level"
"a_natural","leader"
"a_Navy","Captain"
"a_new","beginning"
"a_new","car"
"a_new","challenge"
"a_new","day"
"a_new","job"
"a_new","place"
"a_new","to"
"a_new","way"
"a_nice","bit"
"a_nice","job"
"a_normal","size"
"a_number","of"
"a_package","of"
"a_page","from"
"a_pain","in"
"a_pair","of"
"a_panel","on"
"a_part","of"
"a_particular","book"
"a_passion","to"
"a_path","to"
"a_peek","at"
"a_perfectly","good"
"a_period","of"
"a_person","could"
"a_person","to"
"a_person","who"
"a_personal","experience"
"a_phone","call"
"a_photo","of"
"a_picture","in"
"a_picture","of"
"a_piece","of"
"A_piece","of"
"a_piece","on"
"a_pillow","fight"
"a_pinch","of"
"a_pinion","gearing"
"a_pipe","that"
"a_place","called"
"a_place","for"
"a_place","to"
"a_place","where"
"a_place","with"
"a_plate","of"
"a_plethora","of"
"a_point","in"
"a_point","of"
"a_point","that"
"a_point","when"
"a_point","where"
"a_police","officer"
"a_policy","that"
"a_position","in"
"a_post","on"
"a_pot","of"
"a_pretty","big"
"a_pretty","good"
"a_problem","with"
"a_quest","for"
"a_question","and"
"a_question","of"
"a_quick","phone"
"a_race","of"
"a_rainy","day"
"a_range","of"
"a_rather","large"
"a_real","thing"
"a_really","good"
"a_really","lovely"
"a_reason","for"
"a_recent","interview"
"a_recent","report"
"a_recipe","for"
"a_regular","basis"
"a_relationship","with"
"a_result","I"
"a_result","of"
"a_result","the"
"a_return","to"
"a_review","of"
"a_role","in"
"a_salad","or"
"a_saucepan","over"
"a_seat","and"
"a_second","chance"
"a_second","thought"
"a_sense","of"
"a_serial","killer"
"a_series","of"
"a_set","of"
"a_shallow","grave"
"A_sharp","knife"
"a_short","amount"
"a_short","period"
"a_short","story"
"a_side","effect"
"a_sign","of"
"a_sign","that"
"a_significant","amount"
"a_single","mom"
"a_single","one"
"a_size","10"
"a_small","amount"
"a_small","group"
"a_smart","person"
"a_social","worker"
"a_society","where"
"a_sore","throat"
"a_sort","of"
"a_source","of"
"a_South","African"
"a_special","place"
"a_special","time"
"a_spot","treatment"
"a_squirt","of"
"a_stand","and"
"a_state","of"
"a_stay","at"
"a_step","back"
"a_story","about"
"a_sucker","for"
"a_surprise","to"
"a_surprising","amount"
"a_sweet","little"
"a_symbol","of"
"a_taste","for"
"a_tax","refund"
"a_teacher","in"
"a_team","of"
"a_thin","line"
"a_thing","I"
"a_third","party"
"a_Ticket","Holder"
"a_time","and"
"a_time","I"
"a_time","in"
"a_time","like"
"a_time","of"
"a_time","to"
"a_time","when"
"a_tiny","bit"
"a_tiny","little"
"a_tiny","white"
"a_title","contender"
"a_ton","of"
"a_tool","to"
"a_toothpick","inserted"
"a_total","of"
"a_tough","one"
"a_town","in"
"a_trade","mark"
"a_trauma","center"
"a_trip","to"
"a_try","and"
"a_turn","for"
"a_two","year"
"a_variety","of"
"a_vegetarian","diet"
"a_very","few"
"a_very","good"
"a_very","long"
"a_very","nice"
"a_very","old"
"a_very","small"
"a_very","specific"
"a_very","talented"
"a_very","young"
"a_view","to"
"a_visit","to"
"a_wall","of"
"a_waste","of"
"a_way","I"
"a_way","in"
"a_way","of"
"a_way","that"
"a_way","to"
"a_website","for"
"a_week","ago"
"a_week","and"
"a_week","I"
"a_week","in"
"a_week","of"
"a_week","to"
"a_week","with"
"a_weekend","of"
"a_while","ago"
"a_while","and"
"a_while","back"
"a_while","but"
"a_while","I"
"a_while","Then"
"a_while","to"
"a_whole","lot"
"a_whole","new"
"a_wide","range"
"a_wide","variety"
"a_wire","rack"
"a_woman","and"
"a_woman","from"
"a_woman","I"
"a_woman","is"
"a_woman","who"
"a_wonderful","and"
"a_wonderful","feeling"
"a_word","I"
"a_work","of"
"a_world","of"
"a_world","where"
"a_writer","and"
"a_writer","is"
"a_year","ago"
"a_year","and"
"a_year","before"
"a_year","in"
"A_year","later"
"a_young","boy"
"a_young","girl"
"a_young","woman"
"a_Ziploc","bag"
"Aaron_and","his"
"ability_to","be"
"ability_to","love"
"able_to","bring"
"able_to","capture"
"able_to","do"
"able_to","enjoy"
"able_to","find"
"able_to","fit"
"able_to","get"
"able_to","go"
"able_to","have"
"able_to","help"
"able_to","hold"
"able_to","let"
"able_to","live"
"able_to","make"
"able_to","pull"
"able_to","read"
"able_to","share"
"able_to","stop"
"able_to","take"
"able_to","use"
"about_1","2"
"about_10","12"
"about_10","minutes"
"about_15","minutes"
"about_2","hours"
"about_25","minutes"
"About_45","minutes"
"about_5","minutes"
"about_a","half"
"about_all","the"
"about_an","hour"
"about_being","a"
"about_five","minutes"
"about_half","an"
"about_her","son"
"about_how","I"
"about_how","many"
"about_how","much"
"about_how","my"
"about_how","the"
"about_how","to"
"about_how","we"
"about_is","what"
"about_it","actually"
"about_it","and"
"about_it","but"
"about_it","here"
"about_it","I"
"about_it","in"
"about_it","non-stop"
"about_it","So"
"about_it","this"
"about_life","and"
"about_maps","and"
"about_me","and"
"about_my","inspiration"
"about_myself","Not"
"about_now","I"
"about_pregnancy","and"
"about_Sarah's","death"
"about_social","media"
"about_ten","minutes"
"about_that","and"
"about_the","book"
"about_the","city"
"about_the","deceased"
"about_the","fairer"
"about_the","future"
"about_the","game"
"about_the","idea"
"about_the","people"
"about_the","power"
"about_the","right"
"about_the","things"
"about_the","time"
"about_the","way"
"about_the","whole"
"about_things","that"
"about_this","and"
"about_this","It's"
"about_this","promotion"
"about_to","be"
"about_to","get"
"about_to","lose"
"about_what","I"
"about_what","is"
"about_what","might"
"about_what","they"
"about_why","it"
"about_you","Are"
"about_you","Do"
"Academy_of","Sciences"
"accepted_and","allowed"
"accepted_by","the"
"access_to","the"
"access_to","your"
"accidents_and","ill"
"accompanied_by","a"
"according_to","a"
"According_to","a"
"according_to","one"
"according_to","the"
"According_to","the"
"according_to","their"
"account_for","about"
"across_the","border"
"across_the","country"
"across_the","nation"
"across_the","paper"
"across_the","road"
"across_the","state"
"Act_No","671"
"actually_doing","something"
"actually_happens","to"
"Actually_I","don't"
"Actually_it","was"
"actually_makes","sense"
"actually_see","the"
"adapt_by","becoming"
"add_a","few"
"add_a","little"
"add_it","to"
"Add_sugar","and"
"Add_the","sugar"
"Add_the","vanilla"
"add_to","the"
"add_you","to"
"added_a","bit"
"added_to","the"
"addition_to","the"
"addition_you","will"
"adjusting_to","life"
"admit_I","was"
"admit_that","they"
"admit_that","when"
"admit_to","being"
"advice_from","a"
"aerobics_class","was"
"affected_by","the"
"affected_by","violence"
"afraid_of","everything"
"afraid_of","the"
"after_a","brief"
"after_a","few"
"After_a","few"
"After_a","week"
"after_a","while"
"after_all","I"
"after_all","the"
"after_all","The"
"after_all","these"
"after_he","has"
"after_I","had"
"after_I","left"
"after_I","moved"
"after_I","took"
"after_it","was"
"after_some","time"
"after_the","final"
"after_they","have"
"after_they","were"
"after_we","were"
"after_which","the"
"after_you","have"
"again_and","again"
"again_and","I"
"again_and","then"
"again_I","am"
"again_I","liked"
"again_This","is"
"again_this","week"
"again_this","year"
"against_it","and"
"against_the","best"
"against_the","French"
"against_the","Taliban"
"age_and","the"
"age_of","15"
"age_of","16"
"age_of","18"
"ago_and","I"
"ago_I","was"
"ago_it","was"
"ago_that","I"
"ago_when","I"
"agree_that","they"
"agreed_with","Mr"
"ahead_and","try"
"ahead_of","me"
"ahead_of","time"
"air_balloon","ride"
"alive_and","kicking"
"all_about","it"
"all_about","the"
"all_agreed","with"
"all_by","myself"
"all_can","be"
"all_for","the"
"all_hell","breaks"
"all_I","ask"
"all_I","can"
"all_I","have"
"All_I","know"
"all_I","want"
"All_in","all"
"all_in","one"
"all_in","the"
"all_it","is"
"all_it","was"
"all_kinds","of"
"all_manner","of"
"all_my","heart"
"all_night","long"
"all_of","his"
"all_of","Israel"
"all_of","it"
"all_of","its"
"all_of","my"
"all_of","our"
"All_of","our"
"all_of","that"
"All_of","that"
"all_of","the"
"All_of","the"
"all_of","their"
"all_of","them"
"all_of","these"
"All_of","these"
"all_of","this"
"all_of","those"
"all_of","us"
"all_of","which"
"all_of","you"
"all_of","your"
"all_on","the"
"all_out","of"
"all_over","again"
"all_over","it"
"all_over","my"
"all_over","our"
"all_over","the"
"all_sorts","of"
"all_started","by"
"all_that","I"
"all_that","is"
"all_that","should"
"all_the","best"
"all_the","days"
"all_the","details"
"all_the","different"
"all_the","fabulous"
"all_the","good"
"all_the","ingredients"
"all_the","lights"
"all_the","little"
"all_the","men"
"all_the","more"
"all_the","other"
"all_the","people"
"all_the","rage"
"all_the","same"
"all_the","things"
"all_the","time"
"all_the","way"
"all_the","wrong"
"all_these","things"
"all_these","years"
"All_they","do"
"all_this","time"
"all_those","who"
"all_three","of"
"all_too","often"
"all_we","can"
"all_year","long"
"All_you","have"
"all_you","know"
"All_you","need"
"allow_me","to"
"allow_them","to"
"allow_you","to"
"allowed_me","to"
"allowed_myself","to"
"Allowing_love","means"
"allows_me","to"
"almost_all","of"
"along_the","beach"
"along_the","coast"
"along_the","hop"
"along_the","lines"
"along_the","way"
"along_with","a"
"along_with","other"
"along_with","our"
"along_with","some"
"along_with","the"
"already_begun","to"
"already_done","the"
"alright_at","the"
"also_a","member"
"Also_check","out"
"also_did","a"
"also_feel","like"
"also_gave","me"
"also_going","to"
"also_had","a"
"also_had","the"
"also_has","a"
"also_have","a"
"also_have","some"
"also_have","to"
"also_known","as"
"also_like","to"
"also_one","of"
"also_said","that"
"also_tells","me"
"also_the","most"
"also_tried","to"
"also_with","our"
"although_I","am"
"although_I","still"
"although_I","will"
"although_it","is"
"although_it","was"
"although_that","can"
"Although_there","is"
"aluminum_foil","and"
"always_been","a"
"always_feel","free"
"always_had","a"
"always_had","an"
"always_have","a"
"always_nice","to"
"always_told","me"
"am_a","bit"
"am_a","child"
"am_addicted","to"
"am_also","a"
"am_back","to"
"am_divided","on"
"am_excited","to"
"am_glad","I"
"am_going","to"
"AM_here","to"
"am_I","going"
"am_in","awe"
"am_in","my"
"Am_J","Epidemiol"
"am_loving","it"
"am_new","to"
"am_no","longer"
"am_not","a"
"am_not","an"
"am_not","blessed"
"am_not","even"
"am_not","sure"
"am_quite","happy"
"am_so","excited"
"am_so","thankful"
"am_starting","to"
"am_still","learning"
"am_still","trying"
"am_thankful","for"
"am_thinking","of"
"am_thinking","that"
"am_trying","to"
"am_used","to"
"amazing_sense","of"
"amazing_to","me"
"amount_of","time"
"amount_of","wax"
"Amy_and","Roger's"
"an_abundance","of"
"an_advocate","for"
"an_airtight","container"
"an_all","around"
"an_amazing","sense"
"an_analysis","of"
"an_appointment","and"
"an_appointment","with"
"an_Apricot","Brandy"
"an_argument","that"
"an_army","of"
"an_atmosphere","of"
"an_attempt","to"
"an_average","of"
"an_early","age"
"an_easy","and"
"an_easy","way"
"an_effort","to"
"an_end","and"
"an_end","to"
"an_entirely","different"
"an_even","greater"
"An_Evening","with"
"an_example","of"
"an_expert","in"
"an_eye","on"
"an_hour","after"
"an_hour","and"
"an_hour","before"
"an_hour","drive"
"an_hour","in"
"an_hour","later"
"an_hour","or"
"an_hour","Then"
"an_idea","of"
"an_idea","that"
"an_image","of"
"an_important","role"
"an_insult","to"
"an_interest","in"
"an_interview","with"
"an_issue","here"
"an_issue","I"
"an_obligation","to"
"an_old","husband"
"an_open","mind"
"an_opportunity","for"
"an_opportunity","to"
"an_Optus","account"
"an_organic","mattress"
"analysis_conservatism","scores"
"and_a","big"
"and_a","bit"
"and_a","certain"
"and_a","chance"
"and_a","drink"
"and_a","few"
"and_a","good"
"and_a","great"
"and_a","half"
"and_a","half-cup"
"and_a","large"
"and_a","little"
"and_a","lot"
"and_a","new"
"and_a","rather"
"and_a","real"
"and_a","really"
"and_a","small"
"and_a","taste"
"and_a","well"
"and_able","to"
"and_above","all"
"and_access","to"
"and_add","a"
"and_add","to"
"and_after","a"
"and_age","and"
"and_all","is"
"and_all","of"
"and_all","that"
"and_all","the"
"and_all","things"
"and_allowed","myself"
"and_also","a"
"and_also","the"
"and_an","overall"
"and_any","other"
"and_are","now"
"and_around","and"
"and_as","a"
"and_as","he"
"and_as","I"
"and_as","she"
"and_asked","for"
"and_at","the"
"and_away","from"
"and_back","again"
"and_be","able"
"and_be","in"
"and_be","prepared"
"And_because","I"
"and_because","I'm"
"and_because","of"
"and_because","they"
"and_began","to"
"and_being","a"
"and_blog","about"
"and_both","decide"
"and_both","of"
"and_bring","it"
"and_by","21"
"and_by","the"
"and_certainly","not"
"and_check","it"
"and_click","on"
"and_coming","back"
"and_commercial","property"
"and_continue","to"
"and_cook","for"
"and_cook","tossing"
"and_could","not"
"and_couldn't","wait"
"and_cut","my"
"and_cut","out"
"and_decided","to"
"and_decides","to"
"and_did","a"
"and_did","I"
"and_did","not"
"and_discuss","the"
"and_do","it"
"and_do","not"
"and_doesn't","feel"
"and_doesn't","have"
"And_don't","forget"
"and_don't","get"
"and_don't","take"
"and_down","his"
"and_down","the"
"and_drink","a"
"and_easy","to"
"and_enjoy","the"
"and_enter","the"
"and_even","better"
"And_even","if"
"and_even","more"
"and_even","some"
"and_even","the"
"and_even","though"
"and_every","day"
"and_every","time"
"and_everyone","else"
"and_everyone","in"
"and_everything","is"
"and_everything","that"
"and_explained","what"
"and_find","a"
"and_find","out"
"and_First","Lady"
"and_focus","on"
"and_for","a"
"And_for","a"
"and_for","your"
"and_forth","and"
"and_forwards","between"
"and_fought","against"
"and_found","a"
"and_found","myself"
"and_found","that"
"and_free","of"
"and_freedom","of"
"and_full","of"
"and_gave","them"
"and_get","a"
"and_get","her"
"and_get","it"
"and_get","on"
"and_get","the"
"and_get","to"
"and_give","a"
"and_give","them"
"and_go","all"
"and_go","back"
"and_go","for"
"and_go","on"
"and_go","to"
"and_go","with"
"and_God","Bless"
"and_goes","down"
"and_going","to"
"and_got","a"
"and_guess","what"
"and_had","a"
"and_had","been"
"and_had","fun"
"and_had","just"
"and_had","no"
"and_had","tasted"
"and_had","to"
"and_has","a"
"and_has","been"
"and_have","a"
"and_have","been"
"and_have","never"
"and_have","the"
"and_have","to"
"and_have","your"
"and_having","a"
"and_he","died"
"and_he","explained"
"and_he","is"
"and_he","says"
"and_he","seems"
"and_he","was"
"and_he","will"
"and_head","back"
"and_head","to"
"and_help","you"
"and_her","connection"
"and_her","home"
"and_her","husband"
"and_her","team"
"and_here","I"
"and_here","is"
"and_here","they"
"and_his","beautiful"
"and_his","faith"
"and_his","family"
"and_his","sons"
"and_hopefully","I"
"and_how","I"
"and_how","she"
"and_how","the"
"and_how","they"
"and_how","to"
"and_how","we"
"and_how","you"
"and_hundreds","of"
"and_I","actually"
"and_I","added"
"and_I","also"
"and_I","am"
"And_I","am"
"and_I","are"
"and_I","believe"
"and_I","can"
"and_I","can't"
"and_I","could"
"and_I","couldn't"
"and_I","decided"
"and_I","did"
"and_I","didn't"
"and_I","do"
"and_I","don't"
"And_I","don't"
"and_I","ended"
"and_I","feel"
"and_I","felt"
"and_I","figured"
"and_I","found"
"and_I","gave"
"and_I","get"
"and_I","got"
"and_I","had"
"and_I","hardly"
"and_I","have"
"And_I","have"
"and_I","haven't"
"and_I","headed"
"and_I","hope"
"and_I","immediately"
"and_I","just"
"and_I","kept"
"and_I","know"
"and_I","left"
"and_I","like"
"and_I","liked"
"and_I","looked"
"and_I","love"
"and_I","loved"
"and_I","made"
"and_I","may"
"and_I","met"
"and_I","need"
"and_I","often"
"and_I","put"
"and_I","really"
"and_I","should"
"and_I","started"
"and_I","still"
"and_I","take"
"and_I","think"
"And_I","think"
"and_I","to"
"and_I","took"
"and_I","very"
"and_I","walked"
"and_I","want"
"and_I","wanted"
"and_I","was"
"And_I","was"
"and_I","wasn't"
"and_I","watched"
"and_I","went"
"and_I","were"
"and_I","will"
"And_I","will"
"and_I","would"
"and_I'd","have"
"and_I'll","be"
"and_I'm","down"
"and_I'm","going"
"and_I'm","in"
"and_I'm","not"
"And_I'm","not"
"and_I'm","still"
"and_I've","been"
"and_I've","learned"
"and_I've","never"
"and_ice","cream"
"And_if","he"
"and_if","I"
"and_if","it"
"and_if","it's"
"and_if","there"
"and_if","you"
"And_if","you"
"and_ill","health"
"and_impact","of"
"and_in","a"
"and_in","fact"
"and_in","my"
"and_in","one"
"and_in","our"
"and_in","the"
"and_in","this"
"and_include","a"
"and_into","the"
"and_is","a"
"and_is","as"
"and_is","now"
"and_is","the"
"and_it","can"
"and_it","certainly"
"and_it","feels"
"and_it","had"
"and_it","has"
"And_it","has"
"and_it","is"
"And_it","is"
"and_it","isn't"
"and_it","just"
"and_it","looks"
"and_it","makes"
"and_it","means"
"and_it","only"
"and_it","proves"
"and_it","really"
"and_it","seems"
"and_it","still"
"and_it","took"
"and_it","was"
"And_it","was"
"and_it","wasn't"
"and_it","will"
"and_it's","a"
"and_it's","all"
"and_it's","almost"
"and_it's","just"
"and_it's","really"
"and_it's","usually"
"and_its","political"
"and_join","us"
"and_joy","that"
"and_just","like"
"and_just","the"
"and_keep","the"
"and_killed","him"
"and_know","that"
"and_lacking","in"
"and_leave","a"
"and_leave","the"
"and_lemon","zest"
"and_lesbian","rabbis"
"and_let","cool"
"and_let","go"
"and_let","it"
"and_let","me"
"and_let","my"
"and_let","the"
"and_let","them"
"and_let","us"
"and_licensing","restrictions"
"and_like","the"
"And_like","the"
"and_look","at"
"and_looks","more"
"and_lots","of"
"and_made","it"
"and_made","me"
"and_make","a"
"and_make","it"
"and_make","my"
"and_makes","it"
"and_many","are"
"and_many","many"
"and_many","more"
"and_many","other"
"and_many","others"
"and_many","people"
"and_matter","to"
"and_maybe","a"
"and_miles","of"
"and_mine","are"
"and_mix","well"
"and_monetary","policy"
"and_monitor","their"
"and_more","about"
"and_more","importantly"
"and_more","people"
"and_most","of"
"and_move","on"
"and_much","more"
"and_my","heart"
"and_my","husband"
"and_my","phone"
"and_needs","to"
"and_New","York"
"and_Newt","Gingrich"
"and_no","longer"
"and_no","one"
"and_none","of"
"and_not","a"
"and_not","be"
"and_not","make"
"and_not","much"
"and_not","the"
"and_not","to"
"and_now","I"
"And_now","I"
"and_now","I'm"
"And_now","I'm"
"and_now","it's"
"and_now","she"
"and_now","that"
"and_now","we"
"and_of","course"
"And_of","course"
"and_of","itself"
"and_of","the"
"and_oh","my"
"and_on","our"
"and_on","the"
"and_once","again"
"and_one","of"
"and_one","that"
"and_one","thing"
"and_one","was"
"and_only","the"
"and_only","then"
"and_opened","the"
"and_or","a"
"and_other","global"
"and_other","items"
"and_out","of"
"and_over","again"
"and_over","and"
"and_over","the"
"and_painted","it"
"and_people","are"
"and_personal","life"
"and_picked","up"
"and_played","some"
"and_pointed","out"
"and_pop","it"
"and_possessions","and"
"and_prosperity","and"
"and_protect","the"
"and_proud","of"
"and_put","a"
"and_put","it"
"and_put","on"
"and_put","the"
"and_reach","out"
"and_ready","for"
"and_ready","to"
"and_realize","that"
"and_refrigerate","until"
"and_refuse","to"
"and_responding","to"
"and_returned","to"
"and_rise","to"
"and_run","a"
"and_said","he'd"
"and_said","I"
"and_said","to"
"and_said","unto"
"and_said","You"
"and_saith","unto"
"and_sat","on"
"and_say","hello"
"and_say","Hi"
"and_saying","that"
"and_see","how"
"and_see","if"
"and_see","the"
"and_see","what"
"and_see","where"
"and_seek","to"
"and_seem","to"
"and_sent","to"
"and_shall","not"
"and_she","didn't"
"and_she","is"
"and_she","was"
"and_she's","a"
"and_simmer","for"
"and_since","then"
"and_so","far"
"and_so","forth"
"and_so","he"
"and_so","I"
"And_so","I"
"and_so","is"
"and_so","many"
"and_so","now"
"and_so","on"
"and_so","they"
"and_so","we"
"And_so","we"
"and_some","of"
"and_some","other"
"and_someone","who's"
"and_something","that"
"and_sort","of"
"and_sour","cream"
"and_spent","the"
"and_staring","at"
"and_start","out"
"and_start","to"
"and_started","a"
"and_started","to"
"and_starting","to"
"and_Steeves","2001"
"and_stir","until"
"and_support","you"
"and_take","a"
"and_take","it"
"and_take","stock"
"and_take","the"
"and_take","your"
"and_tell","me"
"and_tell","you"
"and_that","a"
"and_that","for"
"and_that","has"
"and_that","he"
"and_that","I"
"and_that","is"
"and_that","it"
"and_that","means"
"and_that","of"
"and_that","one"
"and_that","something"
"and_that","the"
"and_that","this"
"and_that","was"
